Age,MonthlyIncome,YearsAtCompany,TotalWorkingYears,DistanceFromHome,JobSatisfaction,WorkLifeBalance,OverTime,NumCompaniesWorked,TrainingTimesLastYear,Attrition
34,71678,2,16,40,2,4,No,4,6,No
25,35800,2,7,26,3,4,Yes,6,6,No
42,60237,5,9,5,4,2,No,8,4,No
58,80308,3,10,9,4,2,No,1,5,No
44,125773,15,26,4,3,4,No,7,0,No
39,33152,3,3,21,1,3,Yes,2,1,Yes
38,112698,12,21,39,3,4,Yes,7,6,No
35,85584,8,17,9,2,3,No,1,2,No
25,96375,4,9,23,2,2,No,0,1,No
60,58622,6,6,33,2,1,No,2,0,No
42,78554,9,12,14,1,4,No,0,6,No
31,83615,0,15,12,2,1,No,4,1,No
56,103188,16,23,20,3,4,Yes,3,5,No
26,69877,3,7,13,1,4,Yes,7,6,No
39,80043,8,20,38,4,4,Yes,8,4,No
52,167565,1,35,35,3,4,No,7,2,Yes
38,125368,4,19,45,4,3,No,6,6,Yes
47,45056,1,5,30,3,4,Yes,1,6,No
58,141798,22,24,19,2,4,No,8,4,No
28,50834,0,7,28,3,3,No,7,0,No
52,55506,7,9,47,4,1,No,1,3,Yes
33,68288,13,13,50,2,4,Yes,2,6,No
33,37171,9,9,48,3,2,Yes,6,4,No
54,154599,11,28,30,4,1,No,2,3,Yes
52,174827,11,33,10,1,3,No,7,1,No
44,72374,3,15,28,2,3,Yes,5,3,No
40,113709,1,17,16,2,2,No,8,4,No
46,63622,2,7,22,2,4,Yes,1,6,Yes
31,64368,12,13,43,2,4,Yes,2,6,No
36,61058,9,16,11,2,1,Yes,0,0,No
57,81224,2,18,44,1,2,Yes,5,2,Yes
25,75889,7,8,22,4,3,No,6,1,No
24,69519,4,5,25,2,3,Yes,4,4,No
24,40224,0,5,10,2,4,No,7,2,Yes
36,77576,2,5,11,1,3,No,0,3,No
25,97089,5,5,22,4,3,No,8,5,No
52,71379,12,13,18,3,1,Yes,0,2,No
53,65995,9,10,41,2,1,No,0,1,Yes
26,27950,2,7,27,3,1,No,8,4,No
60,53958,2,12,5,2,4,No,7,5,No
30,39387,11,11,29,1,4,No,3,1,No
54,97736,1,17,18,3,4,No,6,6,No
23,43511,4,5,11,2,3,No,8,4,No
30,87519,2,12,49,2,2,No,2,6,No
31,42648,11,11,26,3,4,No,3,3,No
52,109189,23,26,7,2,2,No,1,6,No
47,38577,2,4,29,4,1,No,8,4,No
25,34476,4,7,13,4,3,Yes,8,2,No
51,19592,1,3,41,1,1,No,8,4,Yes
40,33115,1,1,48,1,1,No,2,0,No
43,61168,8,11,16,4,4,No,0,1,No
54,167256,8,30,35,4,3,No,6,6,No
45,163430,23,26,6,4,4,No,0,0,No
22,48061,1,5,39,3,1,No,0,6,No
30,80790,13,14,29,1,4,Yes,5,6,No
43,50849,1,4,26,3,3,Yes,6,1,No
48,153185,20,33,18,2,4,No,8,4,No
32,71197,5,9,17,4,3,Yes,2,2,No
31,81866,0,13,34,1,2,No,3,0,Yes
31,64175,10,11,50,1,1,Yes,5,0,No
60,54920,7,8,6,2,1,No,1,2,No
38,130755,16,18,35,1,1,No,2,6,No
34,63602,12,15,42,4,1,No,2,0,No
31,71737,12,13,50,4,1,No,1,1,No
30,84928,1,6,36,3,2,No,6,2,No
47,87022,16,18,22,3,4,No,7,4,Yes
38,63701,3,6,7,3,4,Yes,4,5,No
38,68966,4,12,13,2,1,No,8,5,No
36,102684,2,18,46,1,4,No,2,3,No
27,28639,5,9,46,2,4,No,4,1,No
47,177781,27,28,43,3,2,No,2,2,No
29,82511,9,9,27,4,3,Yes,2,4,No
52,42562,7,8,25,1,3,Yes,3,0,No
37,79148,6,15,27,4,1,No,0,0,No
24,50735,3,3,22,3,4,No,8,2,No
41,98055,9,14,37,4,4,No,3,2,No
44,88312,4,4,28,1,3,No,6,5,No
38,123920,1,20,3,3,1,No,3,0,No
49,142040,9,29,4,3,2,No,8,4,No
22,26423,0,4,12,3,4,No,7,5,No
58,158109,20,29,50,1,1,Yes,1,0,Yes
54,18000,1,2,38,1,2,No,4,5,No
42,126271,15,21,50,1,2,No,5,6,Yes
37,36573,6,8,15,4,4,Yes,8,3,No
28,55686,3,10,6,1,4,No,5,3,Yes
44,139696,1,28,43,1,3,No,2,1,No
47,88364,17,19,34,3,4,No,8,4,No
51,167688,24,24,43,4,2,No,4,4,No
56,159465,9,31,8,4,2,Yes,0,4,No
28,73208,6,12,18,2,2,No,2,4,No
34,88330,16,17,22,2,3,Yes,5,3,No
45,27065,2,3,28,3,1,No,6,6,No
55,114578,16,24,8,3,4,No,1,3,No
40,39362,0,0,46,2,2,Yes,8,2,No
32,25501,0,0,46,2,2,Yes,4,5,Yes
24,49833,2,7,15,1,4,No,7,1,No
51,143395,19,26,14,2,2,No,2,4,No
44,60601,8,8,34,2,2,Yes,2,2,Yes
46,59502,7,8,3,2,3,No,1,1,No
25,18000,6,6,32,3,2,No,1,4,Yes
52,78951,14,21,49,1,2,Yes,5,4,No
35,75452,5,17,48,2,2,No,5,1,No
57,81929,5,10,42,2,3,No,3,6,No
21,34908,1,6,35,4,4,No,5,5,No
50,153860,14,30,18,4,1,Yes,7,4,No
32,105222,10,14,31,3,1,No,3,2,No
38,102951,6,21,42,3,4,No,4,4,No
41,18009,2,2,33,2,2,Yes,5,3,No
54,103557,1,17,21,3,3,No,7,6,No
44,135463,14,26,3,3,4,No,7,0,No
28,66665,8,9,26,1,1,No,8,4,Yes
54,84520,3,23,27,3,1,No,8,0,No
42,18000,0,0,27,3,1,No,0,6,No
28,18000,6,10,28,3,3,No,3,5,No
40,89150,1,17,35,2,2,Yes,3,3,No
54,73668,4,6,44,1,1,No,7,2,No
47,103179,1,12,4,2,4,No,0,2,No
45,18000,0,2,28,4,4,No,6,5,No
43,73967,8,14,26,2,4,No,5,6,Yes
56,143780,14,28,28,3,3,No,8,4,No
30,67047,9,12,7,4,4,Yes,8,5,Yes
44,61654,1,7,16,2,1,No,7,3,Yes
23,46168,0,8,8,1,4,No,7,0,Yes
59,89447,11,15,21,2,4,No,3,0,No
38,19403,2,2,43,1,3,No,8,2,No
49,99838,2,20,43,1,2,No,2,5,No
49,83502,10,10,33,1,1,Yes,4,5,No
55,54022,5,12,47,1,4,No,0,1,No
28,57227,1,10,39,1,1,Yes,5,4,Yes
34,56988,3,13,11,1,3,No,6,5,No
42,86056,11,12,32,1,1,No,7,0,No
41,33031,3,3,6,2,1,No,4,2,Yes
49,137861,12,27,2,3,2,No,5,4,No
36,22299,1,5,29,3,2,Yes,0,2,Yes
28,52545,2,11,44,3,4,Yes,2,2,No
41,69718,2,12,44,1,2,No,7,6,No
26,29542,4,6,44,4,2,No,4,5,No
59,106044,4,23,36,4,1,Yes,4,2,No
59,94877,12,22,45,1,2,No,0,6,Yes
32,21006,0,2,38,1,2,No,2,1,Yes
21,34284,1,4,46,1,1,No,3,5,No
50,109656,8,24,21,1,2,No,2,6,No
57,78182,4,8,44,1,1,Yes,0,6,Yes
25,62831,6,7,6,3,3,Yes,2,3,No
35,98092,7,16,20,2,4,No,6,2,No
40,106905,13,19,43,3,3,Yes,6,0,No
33,83990,7,10,35,4,1,Yes,0,2,No
27,29291,1,9,35,4,2,No,6,1,No
48,166745,11,34,45,2,3,No,0,6,No
58,180020,8,33,1,1,1,No,7,2,No
38,113385,12,21,41,3,4,Yes,7,6,No
24,57201,0,3,35,2,2,Yes,7,4,No
28,87504,6,8,24,3,3,Yes,5,2,Yes
28,26929,0,10,25,3,1,No,7,5,No
47,65834,1,6,25,3,4,Yes,2,5,Yes
47,60032,7,7,38,2,1,Yes,2,3,Yes
37,134629,8,15,22,4,3,No,1,2,No
23,25567,1,3,37,2,2,No,4,6,No
54,117628,27,30,27,3,2,No,2,3,No
34,65184,13,17,45,4,2,No,0,1,No
25,56897,0,0,29,3,2,No,3,0,No
23,48834,2,4,39,1,3,No,1,4,No
26,47309,4,8,50,2,2,No,3,2,Yes
41,29242,2,11,40,2,1,Yes,2,3,Yes
26,41317,6,6,9,1,4,Yes,1,0,No
30,103960,9,12,17,1,3,Yes,8,5,Yes
43,52496,0,9,23,4,1,No,6,2,No
23,19973,5,6,50,1,1,Yes,4,5,No
49,135192,19,22,31,3,3,No,3,3,No
36,63579,3,18,20,4,4,Yes,3,0,No
51,20354,0,4,38,1,1,No,6,4,Yes
26,59695,1,3,35,3,3,Yes,3,3,No
45,119096,24,26,37,3,3,No,3,6,No
40,124261,7,16,30,4,3,No,8,3,No
42,65605,8,10,47,4,1,No,1,0,No
41,24946,0,0,10,3,3,No,7,3,No
28,75688,8,11,41,2,3,No,3,1,No
59,160312,10,26,9,3,1,No,5,2,No
34,74495,5,17,5,3,3,Yes,0,5,No
52,51842,1,5,50,3,2,No,2,1,No
56,23954,2,2,6,3,4,Yes,7,3,Yes
38,87910,17,17,5,4,3,No,3,5,No
60,97146,4,17,46,1,4,No,5,3,No
41,68139,9,12,48,4,1,No,1,2,No
28,61126,0,13,18,3,1,No,2,6,No
53,147465,33,33,14,1,4,No,8,2,No
42,71549,3,13,36,4,3,No,3,3,No
40,18000,3,3,32,2,2,Yes,8,2,No
51,97633,17,23,17,4,4,No,2,4,No
35,60747,3,17,22,4,4,Yes,3,1,No
34,66119,12,15,21,1,3,Yes,0,5,No
54,116295,11,28,13,3,1,No,8,0,No
34,38198,9,11,44,3,2,Yes,6,4,No
46,128656,9,29,7,4,2,No,4,2,No
29,22338,4,11,19,1,4,No,2,5,Yes
52,80458,6,13,46,1,3,No,8,0,No
59,134904,4,16,20,4,2,No,6,0,No
37,116746,12,20,43,3,4,Yes,7,6,No
48,32647,1,1,9,3,1,Yes,4,4,No
29,82947,2,3,24,2,3,No,7,1,No
26,54399,6,7,26,2,1,No,0,2,Yes
23,57700,2,9,33,3,4,Yes,4,2,No
45,33100,2,2,34,2,2,No,6,4,No
27,51688,0,8,46,2,3,Yes,0,0,Yes
29,47663,6,13,27,2,4,No,7,4,No
50,92027,15,20,20,2,2,No,5,5,No
58,109678,29,31,19,1,2,No,8,6,No
33,22981,0,1,1,1,2,Yes,4,0,No
38,80150,6,8,11,3,3,No,1,3,No
25,18000,8,9,11,3,1,No,7,2,No
41,141029,1,21,23,4,2,Yes,2,5,No
39,103622,16,21,33,3,2,No,5,2,No
26,43601,1,8,10,1,3,No,6,2,No
48,144658,21,28,23,2,4,No,6,4,No
32,38018,0,6,37,1,4,Yes,5,3,No
38,83204,5,19,11,2,1,Yes,4,4,No
30,18329,0,1,50,3,3,No,1,3,No
24,72422,5,8,18,4,3,No,4,1,No
38,54424,2,9,1,3,4,Yes,5,4,No
24,38432,2,9,10,2,3,No,7,2,No
41,131826,19,22,35,2,1,No,5,3,No
37,31552,0,0,2,1,4,No,3,5,Yes
25,49613,1,7,12,1,4,No,7,1,No
38,74514,13,19,21,4,1,No,5,4,Yes
40,109469,3,21,26,1,4,No,1,3,No
32,66358,13,13,7,1,3,No,1,2,No
52,110405,9,26,21,1,1,No,3,6,No
55,68831,15,15,34,3,4,No,3,6,No
31,51219,7,12,44,1,2,Yes,4,6,Yes
48,86268,8,15,3,1,2,Yes,2,2,No
53,30381,3,4,40,2,3,No,5,2,Yes
24,50476,5,7,17,4,4,Yes,7,4,No
39,83540,11,22,39,3,4,Yes,8,3,No
52,157514,26,33,9,3,2,No,0,6,No
57,26771,0,0,6,3,3,No,8,4,No
39,115401,12,16,15,1,1,Yes,1,3,Yes
46,63404,6,10,1,2,3,No,0,2,No
45,102719,7,13,50,2,1,No,7,2,No
50,115394,19,25,21,3,3,No,1,5,No
51,67396,9,11,50,3,3,No,7,5,No
34,72661,6,16,42,3,2,No,5,0,No
38,86360,8,10,34,2,3,No,5,5,Yes
47,82817,7,13,34,1,1,Yes,3,5,No
28,42861,6,9,12,1,4,Yes,2,0,No
28,28786,0,6,41,2,3,No,0,5,Yes
54,96599,15,25,21,3,4,Yes,4,5,No
21,19403,0,5,4,2,1,Yes,1,4,No
43,120771,11,17,11,2,1,No,3,4,No
53,155567,31,32,14,1,4,No,8,4,No
37,41385,6,6,28,4,1,Yes,7,2,No
46,32840,5,11,44,1,2,Yes,1,6,No
59,91759,12,23,46,1,3,No,1,6,Yes
50,60682,2,8,30,4,2,Yes,2,4,Yes
45,113471,5,22,40,2,2,Yes,3,4,Yes
29,67246,0,14,37,3,4,Yes,7,1,Yes
44,85479,5,6,29,1,3,No,6,6,No
28,47872,3,10,15,4,3,No,5,5,No
49,48359,2,6,15,1,4,Yes,0,4,No
59,105137,4,10,3,3,3,Yes,7,6,Yes
56,163863,4,32,44,3,1,Yes,1,3,Yes
53,60379,2,5,33,4,2,Yes,1,5,Yes
52,159568,1,32,35,3,4,No,7,4,Yes
38,95481,18,20,20,4,2,No,4,3,No
26,19232,0,1,1,4,4,No,7,5,No
34,89671,12,12,40,3,3,No,7,6,Yes
45,154765,29,30,44,2,2,No,4,3,No
45,160441,6,22,38,3,4,Yes,2,0,No
21,33376,1,4,45,1,1,No,5,3,No
57,112547,6,19,45,4,2,Yes,5,4,No
51,120965,9,21,19,3,1,Yes,0,0,No
53,100442,9,9,31,2,1,Yes,8,1,No
54,117541,15,23,11,2,4,No,3,3,No
25,61192,8,9,9,1,4,No,2,5,No
51,49627,13,15,3,4,4,No,8,4,No
58,137042,2,31,34,1,1,Yes,6,0,No
31,39132,0,6,35,1,4,Yes,4,4,No
25,52612,6,6,45,1,2,Yes,8,2,Yes
47,19253,2,3,7,1,2,No,7,1,No
56,19410,0,10,28,3,4,Yes,5,6,Yes
22,19548,1,5,48,3,2,No,3,4,No
55,23808,0,1,3,1,4,Yes,7,2,No
49,57519,13,13,16,1,4,No,3,3,Yes
21,32396,2,4,16,2,4,Yes,6,1,No
50,97602,9,15,47,4,1,No,2,0,No
21,34825,0,4,27,1,4,No,3,3,No
32,73529,3,7,20,4,3,Yes,2,2,No
38,18833,0,1,40,1,2,No,8,1,No
58,70017,6,16,30,2,2,No,5,4,No
31,81447,0,12,35,1,2,No,6,0,Yes
55,127771,19,21,29,3,4,No,1,3,No
26,65481,8,8,3,2,1,Yes,3,4,No
48,18000,0,0,12,1,2,Yes,5,3,Yes
58,140727,13,29,1,2,3,Yes,3,0,No
29,62239,0,11,11,2,2,Yes,7,2,No
38,95898,17,18,43,2,1,No,2,6,Yes
23,19179,4,5,25,2,4,Yes,0,3,Yes
43,69964,11,21,6,4,4,No,1,3,No
40,127652,4,24,3,2,3,No,2,2,No
56,97906,6,21,41,2,2,No,6,0,No
26,41934,4,4,30,2,2,No,4,2,No
56,88007,11,13,19,2,3,No,3,0,No
30,24767,6,12,7,2,2,No,7,5,No
28,68286,4,10,10,1,4,Yes,0,5,No
25,54837,2,7,22,2,1,Yes,1,6,No
21,18000,4,4,48,1,4,No,5,2,No
42,106834,2,19,11,4,1,Yes,7,3,No
49,104032,12,18,3,4,3,Yes,3,2,No
48,18082,0,4,28,1,2,Yes,7,4,Yes
57,64164,3,5,32,4,2,Yes,6,5,No
26,64387,6,7,9,2,3,Yes,4,3,No
30,49912,1,11,5,2,3,No,5,5,No
31,51904,10,11,33,1,3,No,8,4,No
51,152795,2,30,40,3,3,No,2,5,No
29,47636,7,11,30,1,2,Yes,3,5,Yes
21,41746,2,3,1,2,4,No,7,0,No
58,101584,4,18,37,3,2,Yes,4,6,No
54,123614,19,29,29,1,2,Yes,2,6,No
39,31274,6,6,28,1,3,Yes,2,1,Yes
24,41436,2,4,41,3,1,No,7,2,No
34,84521,5,10,46,3,1,No,6,4,No
37,123406,7,15,18,4,3,No,0,2,No
27,62453,0,7,3,4,1,No,5,0,No
55,107352,12,19,24,1,2,No,3,2,No
58,162249,20,29,50,1,1,Yes,1,1,Yes
26,56915,8,13,11,1,4,No,2,4,No
38,113968,11,22,40,3,4,Yes,7,6,No
34,89072,8,14,15,4,4,No,6,5,No
51,61599,8,15,26,4,4,No,3,1,No
39,26514,1,1,26,4,3,Yes,6,2,Yes
43,107394,13,23,16,4,4,Yes,5,0,No
50,99178,18,25,18,4,4,No,1,4,No
47,149936,27,29,46,2,2,No,3,2,No
42,49243,5,10,11,3,4,No,8,5,No
22,60101,1,1,37,4,1,Yes,8,3,No
25,18949,2,7,25,4,2,No,0,6,No
29,26682,8,10,4,1,1,No,2,3,Yes
28,28017,5,5,47,4,2,No,6,5,No
59,26837,0,1,5,4,4,Yes,4,2,Yes
59,83212,6,12,14,1,1,Yes,1,3,No
33,89928,6,15,14,4,4,No,5,6,No
25,35739,4,8,11,4,3,Yes,7,2,No
41,18000,2,4,31,4,4,Yes,2,5,No
45,74916,4,14,28,2,3,Yes,6,4,No
34,85668,3,16,31,1,2,No,6,4,No
33,21099,4,4,32,2,4,No,3,6,No
59,122296,8,25,19,4,1,Yes,8,6,Yes
27,18912,5,8,25,3,3,No,3,5,No
34,35830,4,4,43,3,1,Yes,0,6,Yes
32,98742,0,16,29,1,3,No,4,1,No
32,67014,4,15,43,2,2,No,3,5,No
36,27449,2,2,1,4,2,Yes,2,1,No
24,51072,6,6,18,1,1,Yes,2,1,Yes
47,131513,1,28,14,1,1,No,3,4,No
54,61341,2,21,16,4,2,No,1,1,No
52,31852,2,4,5,3,1,Yes,3,4,No
51,163054,2,31,42,3,3,No,3,4,No
27,60640,9,9,19,2,3,Yes,4,5,No
46,139416,18,28,32,2,4,Yes,8,3,No
45,116232,1,21,10,4,4,Yes,5,2,No
45,111575,4,17,11,4,3,No,7,2,No
26,43077,6,7,12,1,4,Yes,1,1,No
58,32680,0,3,19,2,1,No,3,6,No
28,31947,2,10,47,4,1,Yes,5,0,Yes
36,37907,2,4,42,3,1,Yes,2,4,No
51,19252,0,6,17,2,3,No,8,6,No
56,147549,24,32,4,2,4,No,0,6,No
34,39706,11,16,40,3,1,No,8,2,No
48,18654,0,0,12,1,2,Yes,5,2,Yes
52,73011,6,6,26,3,2,No,4,1,No
44,104300,7,12,49,2,1,No,7,2,No
44,147183,3,28,40,2,2,No,5,4,No
50,111974,14,23,5,4,3,Yes,1,5,No
49,54205,5,5,20,1,1,No,8,5,No
24,76285,4,6,17,1,1,No,3,2,No
28,18171,5,11,25,3,3,No,2,3,No
38,55981,4,17,15,3,3,Yes,0,5,No
52,54392,1,4,50,3,3,No,2,1,No
29,82693,0,11,5,1,2,No,8,1,No
60,147858,14,30,23,3,3,No,5,6,No
33,72530,11,16,6,1,2,No,3,1,No
45,136785,13,28,45,1,4,No,0,2,Yes
58,105531,8,13,39,2,2,No,6,3,No
24,27144,2,6,50,3,1,No,0,6,No
46,18880,0,0,27,4,4,No,7,5,No
27,49187,6,8,42,2,3,No,7,2,Yes
41,70835,5,7,39,1,3,No,4,0,No
32,83360,10,12,44,4,3,No,6,4,No
51,60683,3,7,11,1,3,Yes,0,6,No
38,100482,9,20,10,3,4,No,3,5,No
46,112302,27,27,49,4,3,Yes,7,2,No
31,19364,3,9,31,2,2,Yes,1,5,Yes
30,56380,8,12,35,1,3,No,8,5,No
25,40995,6,11,29,3,2,Yes,7,4,Yes
42,132919,16,24,46,3,4,No,7,2,No
45,98272,11,19,3,4,3,No,3,3,No
53,72063,3,8,44,1,1,No,8,2,No
47,47131,2,9,50,2,3,Yes,6,1,No
57,105374,11,19,24,1,2,No,2,2,No
56,83145,2,18,44,1,2,Yes,6,1,Yes
33,73730,12,15,45,2,3,Yes,8,2,No
42,108835,15,17,44,3,3,Yes,6,2,No
21,18000,3,4,48,4,3,No,1,6,No
53,50312,0,5,49,4,3,No,1,1,No
23,44651,2,6,29,2,1,No,6,5,No
56,159406,5,33,27,3,4,No,4,4,No
49,57247,12,13,11,1,4,No,3,3,Yes
21,41837,1,4,37,1,3,No,1,6,No
45,167293,3,27,7,1,2,No,3,0,No
32,113807,6,14,10,4,1,No,4,0,No
22,47761,4,6,22,3,4,Yes,7,5,No
25,43626,3,7,4,3,1,No,7,0,Yes
32,91470,12,12,42,3,3,No,5,5,Yes
59,53531,7,10,21,3,2,Yes,0,6,No
28,78595,10,10,26,3,3,Yes,1,4,No
53,37014,1,3,46,1,4,No,5,2,No
33,51813,1,2,24,4,4,No,8,4,No
57,18000,1,1,22,1,3,No,3,6,No
28,20928,5,9,17,1,3,No,1,5,Yes
25,48308,6,6,11,2,2,No,5,2,Yes
27,70985,4,13,16,2,1,No,3,4,No
43,140812,12,28,3,2,4,No,7,0,No
45,26724,1,1,22,3,1,No,7,6,No
28,75024,10,12,1,1,1,No,6,6,Yes
56,53281,4,7,30,3,1,No,5,5,No
54,137000,30,30,10,3,1,Yes,8,3,No
48,31721,0,4,31,1,2,Yes,4,4,Yes
25,29281,0,8,38,2,3,No,1,6,Yes
48,28886,3,6,41,4,4,No,4,4,No
43,122248,6,19,36,1,1,No,1,2,No
27,63711,8,9,4,2,1,Yes,3,3,No
41,108241,15,26,25,1,1,Yes,8,1,Yes
33,84806,3,15,1,1,3,Yes,0,5,No
41,85662,10,18,25,1,2,No,8,1,Yes
50,100781,10,10,44,2,1,No,5,3,Yes
53,106306,12,27,14,4,1,No,6,0,No
42,94544,1,16,13,3,3,No,3,0,No
22,40828,2,2,43,1,4,No,3,1,No
59,41113,3,3,19,4,3,Yes,5,2,No
41,61737,0,7,10,2,1,No,8,2,Yes
58,105973,30,32,24,1,1,No,7,5,No
39,107767,4,22,6,1,4,No,0,4,No
34,75261,12,16,5,1,3,No,4,1,No
30,90895,9,12,39,2,3,No,6,5,No
54,149334,18,32,44,1,3,Yes,3,0,No
53,144463,19,26,50,2,1,No,6,0,No
42,120974,23,23,31,4,1,No,7,3,No
58,138347,22,22,11,3,4,Yes,2,4,No
55,91290,6,13,36,3,3,No,5,0,No
24,18677,3,6,20,2,2,No,4,2,No
58,138885,7,25,25,1,1,Yes,8,1,Yes
26,18000,6,8,12,3,1,No,8,3,No
45,81955,9,18,5,2,2,Yes,1,2,No
57,30000,2,2,16,1,1,No,4,6,No
44,46865,5,7,36,3,3,Yes,5,6,Yes
32,56410,11,16,36,1,1,No,4,1,No
47,132438,9,22,26,1,4,No,5,1,No
32,46438,7,12,31,3,4,No,6,5,No
31,49529,4,14,4,3,3,No,6,5,No
45,113285,25,26,33,4,1,No,8,6,No
40,18325,2,2,30,3,3,Yes,8,4,No
42,62540,8,11,15,4,4,No,0,1,No
51,99965,15,21,16,4,4,No,3,4,No
52,107002,11,24,36,4,2,No,3,3,No
51,71142,7,10,16,1,1,No,1,3,Yes
48,129309,9,29,6,3,2,No,4,5,No
36,40066,5,5,30,4,1,Yes,7,1,No
38,22865,6,6,23,3,1,Yes,0,1,No
59,18000,0,2,1,3,2,Yes,3,1,No
47,33277,0,4,30,2,2,Yes,5,4,Yes
34,58456,3,18,22,2,2,No,0,4,No
59,136100,11,24,23,1,2,Yes,6,2,Yes
31,76222,5,11,4,3,1,No,1,3,No
27,51177,1,8,30,2,2,No,6,1,No
51,60898,7,13,27,4,3,No,1,1,No
25,19133,2,4,24,4,2,No,1,5,No
56,140322,0,31,15,4,1,No,8,5,No
60,60000,10,11,1,1,4,No,2,1,No
55,150518,4,34,31,3,4,No,4,2,No
33,71478,12,12,11,1,3,No,1,0,No
48,124685,22,23,20,4,2,No,3,2,No
