Age,Income,LoanAmount,CreditScore,EmploymentYears,ExistingLoans,MonthlyDebt,LoanTerm,PreviousDefault,HomeOwnership,Default
61,657945,274347,630,17,3,24210,36,No,Rent,0
31,955185,50000,639,12,1,21537,36,No,Rent,0
65,1114686,837152,619,25,3,17985,24,No,Own,0
40,735578,1123314,755,17,2,29733,24,No,Rent,1
56,179542,354660,684,23,3,16806,60,No,Mortgage,1
65,887203,405974,793,10,2,15840,36,No,Rent,0
47,1482970,415153,692,10,5,32767,48,No,Mortgage,0
34,570945,458480,778,10,2,33184,36,No,Rent,0
59,615812,50000,829,6,3,17090,60,Yes,Own,0
36,311275,375287,778,15,1,23279,48,Yes,Rent,0
48,974890,1026426,728,4,2,9458,12,No,Rent,0
43,238345,838170,538,26,5,32152,24,No,Own,1
50,1308384,592827,501,12,4,47538,48,No,Mortgage,0
25,578555,248444,651,6,4,16208,48,Yes,Mortgage,0
50,728941,247147,687,29,2,13506,24,No,Mortgage,1
31,571991,50000,693,10,5,40298,60,No,Mortgage,0
48,751832,399516,699,6,2,7033,24,Yes,Mortgage,0
54,884638,815363,658,33,1,10653,60,No,Rent,0
52,979674,396284,687,13,0,24664,60,No,Mortgage,0
52,150000,687062,793,18,3,18534,60,No,Rent,1
21,876488,584486,646,0,3,27941,24,No,Rent,0
32,760771,757508,482,16,0,3760,48,No,Mortgage,0
32,813653,431445,671,17,1,12645,84,No,Mortgage,0
49,628871,50000,767,24,5,28378,36,Yes,Own,0
24,978344,322907,725,10,3,32666,12,No,Own,0
38,698613,684600,604,9,4,39529,36,No,Rent,0
36,450697,61087,700,23,3,20022,48,No,Own,0
57,1138940,52208,727,18,0,24039,36,No,Own,0
43,790675,256412,529,16,5,40873,48,No,Rent,0
31,244907,50000,706,7,1,27734,36,No,Rent,0
52,859903,240300,796,0,3,27504,60,No,Own,0
30,1301473,87192,583,11,3,25875,60,No,Mortgage,0
63,580973,812981,734,28,2,24882,36,Yes,Own,0
26,1452699,643554,571,10,2,12766,60,No,Mortgage,0
35,556853,50415,742,20,3,36063,60,No,Own,0
38,468800,409851,788,3,1,17543,36,No,Rent,0
33,841940,433306,700,17,2,12814,84,No,Mortgage,0
49,172767,303756,625,24,5,11818,60,No,Rent,1
21,197995,429114,515,4,1,23058,84,No,Rent,0
58,870632,1135567,775,9,3,20324,36,No,Own,0
35,613813,447375,685,8,5,16993,36,No,Mortgage,0
39,1135278,501006,729,12,0,22522,24,No,Rent,0
29,1001453,204210,637,2,5,47182,84,No,Rent,0
37,894006,521768,653,17,3,27295,60,No,Rent,0
63,1104394,929248,604,28,3,41787,84,No,Rent,0
63,1223722,609846,637,23,5,28532,36,Yes,Mortgage,1
45,281696,837416,563,22,5,35318,24,No,Own,1
30,511052,877782,631,10,2,34121,60,No,Rent,1
24,692475,992587,665,9,4,20236,60,No,Mortgage,0
34,1236985,1102312,713,19,2,20988,60,No,Mortgage,0
55,1162726,50000,706,29,4,38028,48,No,Rent,0
56,367229,224599,624,19,5,25877,60,No,Rent,1
40,219424,82867,407,3,0,13095,36,No,Own,1
55,854746,827650,668,30,1,12240,60,No,Rent,0
34,1679053,924789,775,14,5,50406,12,No,Mortgage,0
65,343781,347468,709,9,5,31724,36,Yes,Own,1
59,548153,259002,689,3,5,47415,84,No,Own,0
46,1113234,50000,673,16,1,17161,12,No,Rent,0
40,1367742,738193,739,21,0,51601,36,No,Mortgage,0
65,289461,628803,844,19,2,29626,60,No,Mortgage,1
54,482760,241281,663,17,5,26448,60,No,Rent,0
56,876750,373196,760,20,1,8887,48,No,Own,0
27,1146332,246608,767,9,3,31760,60,No,Rent,0
58,1161957,745471,496,7,1,20112,36,No,Rent,0
25,233697,1053191,546,6,2,23005,48,No,Rent,1
41,654583,671637,626,9,5,40661,36,No,Rent,0
33,1019039,990364,813,7,5,16944,24,No,Rent,0
39,554420,1095538,778,15,3,27323,36,No,Rent,0
47,791452,661385,665,19,1,2297,24,No,Mortgage,0
28,198373,992457,719,16,5,28307,36,Yes,Mortgage,1
43,1722885,89439,850,2,4,20988,12,Yes,Rent,0
32,411034,808858,633,19,4,28655,60,No,Rent,1
48,692818,913761,598,18,0,15134,60,No,Mortgage,0
59,216835,447461,697,29,0,15497,24,Yes,Own,1
46,488151,151367,655,22,0,19163,60,No,Rent,0
56,1068537,395317,658,22,5,38537,48,No,Mortgage,0
31,606258,319715,578,17,4,20009,60,No,Own,0
49,893078,385303,736,19,5,36405,36,No,Mortgage,0
30,1308618,666930,610,8,0,0,60,No,Mortgage,1
49,889849,532919,585,16,4,40226,36,No,Rent,0
21,734193,796426,816,6,1,30676,60,No,Rent,0
38,665025,50000,777,1,5,42119,36,No,Rent,0
44,804555,64167,614,27,2,273,36,No,Rent,0
35,1189094,693177,595,3,2,19148,36,No,Rent,0
60,391118,67078,631,24,0,10986,60,No,Rent,0
38,305766,1121928,775,6,1,13574,36,No,Own,1
24,441059,1262516,676,1,4,26184,48,No,Own,1
41,392058,245587,646,12,4,30883,48,No,Rent,0
53,243776,592535,626,26,0,1723,60,No,Mortgage,1
33,633761,496924,641,9,4,14050,36,No,Mortgage,0
56,497185,1303875,741,20,4,26240,60,No,Mortgage,0
38,654559,151212,718,20,0,25982,84,No,Mortgage,0
44,1197366,508689,779,30,2,48674,12,No,Mortgage,0
41,739543,814916,706,22,2,22643,12,Yes,Rent,0
44,710657,578041,730,17,2,27643,24,No,Rent,0
35,488147,486234,778,18,4,36893,12,No,Rent,0
62,928955,407646,643,27,5,42671,48,No,Rent,0
27,546071,624642,691,6,4,21928,12,Yes,Mortgage,0
61,894930,96046,631,5,1,31970,24,No,Mortgage,0
65,1066548,79333,649,24,5,41728,36,No,Mortgage,0
35,775602,977688,572,16,5,42302,36,No,Mortgage,1
34,959297,480382,675,13,4,38158,36,Yes,Rent,0
44,909096,307869,732,20,0,13340,24,No,Own,0
53,336236,591518,699,11,3,30439,36,No,Own,0
44,194223,679105,742,26,2,44066,12,No,Rent,1
60,150000,657645,629,11,1,25311,84,No,Mortgage,1
22,1233588,50000,837,0,5,17915,36,Yes,Rent,0
51,458936,274390,594,29,1,40400,48,No,Own,0
25,900663,595852,725,7,4,25238,84,No,Own,0
51,927399,134251,731,11,0,30706,36,No,Rent,0
59,1769921,762398,644,13,1,22326,48,No,Mortgage,0
56,778220,395885,524,11,5,50572,36,No,Own,0
30,1340404,74555,775,6,5,35701,36,No,Rent,0
38,470424,513955,684,13,3,24224,24,No,Rent,1
65,890527,97584,596,5,1,7531,60,No,Rent,0
55,962962,1172347,543,2,2,12536,60,Yes,Rent,1
26,955952,872554,550,4,3,32603,60,No,Rent,1
22,759495,221278,719,1,2,35184,84,No,Mortgage,0
25,594328,673103,601,11,3,15169,12,No,Mortgage,1
52,636954,906564,780,16,2,20230,60,No,Own,0
39,877433,442066,723,22,0,19252,24,No,Own,0
34,681863,342040,610,17,3,20004,60,No,Own,0
47,539044,374622,614,8,5,35098,36,No,Mortgage,1
52,381260,782671,685,12,3,38131,60,No,Mortgage,1
36,1041041,524657,666,8,1,12238,24,Yes,Rent,0
22,150000,416856,638,5,5,40145,60,No,Rent,1
33,674442,397719,644,16,2,27312,48,Yes,Rent,0
45,851734,266433,614,18,0,1238,24,No,Own,0
44,816777,58903,578,29,2,4241,36,No,Rent,0
52,489661,684161,778,20,1,9860,60,No,Rent,0
53,871841,757493,749,7,0,25502,36,No,Mortgage,0
21,873508,281557,680,10,0,8264,60,No,Rent,0
31,825001,964835,523,14,5,36813,36,No,Mortgage,1
56,688775,649388,673,10,1,22446,36,No,Rent,0
36,912847,316996,685,23,4,21980,36,Yes,Rent,0
23,1071176,686995,529,5,1,26978,24,No,Rent,0
21,671443,525267,734,5,4,30960,60,No,Rent,0
35,733895,50000,801,3,1,24914,24,No,Rent,0
36,516646,354773,766,16,4,36009,60,No,Mortgage,0
34,540511,621001,637,5,2,15572,24,No,Rent,0
31,865900,50000,847,7,1,22757,60,No,Own,0
33,367493,603018,635,13,4,26897,24,No,Own,1
24,419262,882917,850,1,0,10493,60,No,Own,0
21,263248,757690,668,3,2,7115,48,No,Rent,1
58,522796,307798,550,21,1,15807,24,No,Rent,0
22,1094871,50000,764,3,5,16184,36,No,Rent,0
49,343697,1096777,835,0,3,31371,60,No,Own,1
38,902291,538847,636,16,3,28163,60,No,Rent,0
55,657878,738890,637,9,2,34626,60,Yes,Own,1
58,727797,833514,685,24,2,22868,36,No,Rent,0
57,955358,313736,825,3,5,37114,48,Yes,Mortgage,0
41,150000,50000,760,3,2,33574,24,No,Mortgage,0
22,151070,682371,548,3,2,17306,36,Yes,Rent,1
44,368524,614638,688,17,5,24443,36,No,Rent,0
38,421681,50000,633,12,3,15157,36,No,Rent,0
25,488339,708747,753,10,4,38423,12,No,Mortgage,0
36,688777,359754,625,1,5,22347,60,No,Mortgage,0
26,516353,75375,780,7,3,29043,36,No,Own,0
56,464571,1338715,706,7,4,25841,36,No,Rent,0
35,298329,369683,649,11,3,19057,36,No,Mortgage,1
42,754757,1118671,733,15,2,30636,60,No,Mortgage,0
47,345371,300331,611,23,5,11802,60,No,Rent,0
24,344574,590694,688,2,3,10520,36,No,Own,1
36,162228,684071,737,19,5,38336,48,No,Own,1
56,422401,535962,668,28,1,8371,60,No,Rent,0
37,1200719,715119,600,17,2,36297,36,Yes,Rent,0
36,1595934,655921,710,16,4,28738,12,No,Mortgage,0
25,838150,548575,607,0,3,33208,24,No,Rent,0
26,967103,162861,589,5,5,43071,84,No,Rent,0
62,787453,684430,710,30,3,42019,60,No,Mortgage,0
54,947609,101333,684,17,0,3353,60,No,Rent,0
39,1343271,512651,757,0,5,18430,24,No,Mortgage,0
41,956405,779502,655,17,2,22657,60,No,Own,0
58,395430,497259,597,2,0,12143,24,No,Own,1
26,462894,1045213,528,9,0,0,36,No,Rent,1
37,150000,50000,629,16,4,26167,60,No,Rent,1
47,970250,411173,617,20,0,9028,48,No,Rent,0
45,672025,135909,740,17,5,28272,36,No,Rent,0
40,413568,708695,725,21,5,42738,24,No,Rent,0
21,862322,987176,611,4,1,15491,60,No,Rent,0
35,309165,357362,807,11,0,22009,48,Yes,Rent,0
36,293515,875311,606,19,0,26113,36,No,Mortgage,1
64,855229,619537,818,7,5,21292,36,No,Rent,1
21,712558,541404,683,4,2,34443,36,No,Mortgage,0
37,1181736,685898,622,16,2,36849,36,Yes,Rent,1
61,958434,263085,640,1,2,29836,84,No,Mortgage,0
63,221012,455562,736,5,2,18109,48,Yes,Rent,1
64,432254,50000,666,15,2,12814,36,No,Own,0
30,474827,682416,677,9,1,16706,36,No,Own,1
65,150000,463904,590,22,1,14141,60,No,Rent,1
34,411336,716407,585,7,2,21571,36,No,Mortgage,1
61,708048,445935,634,19,2,4711,60,No,Mortgage,0
52,318354,358995,649,14,1,20889,84,No,Rent,0
46,1399292,327243,608,7,2,15664,60,No,Rent,0
36,917378,729298,637,7,4,23042,60,Yes,Rent,0
57,836042,939867,596,1,1,10706,12,No,Mortgage,0
42,713276,726602,745,6,2,40213,84,No,Mortgage,0
23,774636,719672,605,8,4,42441,60,Yes,Rent,1
60,200490,483609,777,11,4,19058,48,Yes,Rent,1
21,704068,457108,696,3,2,17999,12,No,Mortgage,0
33,741585,773870,430,15,0,0,48,No,Mortgage,0
55,690212,453288,706,16,2,11646,24,No,Rent,0
28,304631,804274,753,0,0,12144,36,No,Rent,1
44,967161,399971,686,26,3,16010,24,No,Rent,0
42,479258,199142,797,27,3,33655,12,No,Own,0
42,652569,77307,587,16,3,25080,60,Yes,Mortgage,0
45,499991,1159447,658,28,5,28463,48,No,Mortgage,1
55,463170,219456,613,29,5,10741,48,Yes,Rent,1
30,303741,846411,655,12,4,31238,60,No,Own,1
35,1320267,544001,618,13,0,16075,36,No,Mortgage,0
48,378847,361974,625,26,4,13125,60,No,Rent,0
47,778490,320193,681,28,2,10320,24,No,Mortgage,0
46,946032,50000,763,3,3,35581,36,No,Rent,0
56,581591,670879,558,7,0,16733,36,No,Own,0
38,703262,283536,685,15,4,35789,60,No,Mortgage,0
63,605635,50000,568,10,2,28559,36,No,Mortgage,0
63,1094881,294875,548,6,4,23708,36,No,Rent,0
57,1116596,935162,540,22,5,32022,84,No,Rent,0
26,232519,1032372,568,2,1,19052,48,No,Rent,1
55,352595,470896,602,6,0,26884,84,No,Own,1
26,702169,54492,672,4,4,13975,60,No,Own,0
60,906559,511962,686,28,3,24714,12,No,Rent,0
50,765816,1041568,572,14,4,23294,36,No,Mortgage,0
21,666011,812162,692,7,1,23652,48,Yes,Rent,0
58,680195,764835,631,12,4,50399,60,No,Rent,1
51,1048427,674888,786,29,2,30658,84,No,Own,0
36,1527118,1261673,584,1,2,26768,36,Yes,Mortgage,1
28,510703,693422,749,7,3,39177,12,No,Mortgage,1
37,554008,527795,663,4,0,16007,24,No,Rent,0
54,1023656,529550,850,7,5,41967,60,No,Own,0
47,510493,715362,751,22,3,12302,60,No,Rent,0
23,1344769,557260,663,4,3,38416,12,No,Own,0
38,734919,1177365,768,19,0,36097,24,No,Rent,0
53,343153,552315,716,17,1,27715,36,No,Own,0
42,1176648,50000,515,24,2,22340,36,Yes,Rent,0
30,1137614,99668,605,3,5,34596,36,Yes,Own,0
38,626402,302795,838,1,4,22394,48,No,Rent,0
48,594040,53098,799,5,1,14357,12,No,Own,0
50,1025427,50000,825,24,2,27379,84,No,Rent,0
26,638442,428348,650,10,5,8086,24,No,Own,0
44,1087770,1294977,672,8,1,19617,60,No,Rent,0
44,175216,50000,755,3,3,26907,24,No,Mortgage,0
21,703804,59105,708,0,1,26224,84,No,Own,0
26,1156481,258338,660,11,5,37358,60,No,Own,0
51,451114,456954,761,18,2,24742,24,No,Own,0
25,756082,528634,676,4,3,29742,36,No,Mortgage,1
44,998456,50000,614,17,2,12552,24,No,Own,0
52,396359,388407,773,15,3,30339,24,No,Own,0
46,1707304,760961,812,11,3,39196,36,No,Rent,0
32,770247,786828,560,7,0,1228,60,No,Rent,1
52,901759,82535,650,3,3,22111,36,No,Rent,0
29,818117,66195,675,6,4,27004,24,No,Own,0
65,934926,869647,648,11,5,30053,60,No,Mortgage,0
27,794863,83248,520,11,3,41757,60,No,Mortgage,0
59,270098,428516,679,30,3,20881,36,No,Own,0
22,595549,743382,740,1,5,39977,60,No,Mortgage,1
52,648787,717816,660,11,2,23369,36,No,Mortgage,0
63,748280,633008,690,8,1,36243,48,Yes,Mortgage,0
54,158982,677831,647,22,5,25723,60,No,Rent,1
32,150000,807149,650,13,1,12247,48,No,Rent,1
60,744709,1115647,718,14,1,23026,36,No,Own,1
65,713988,496146,610,20,3,53897,36,Yes,Rent,0
21,702485,378084,701,4,5,16178,36,No,Own,0
46,535694,55492,807,0,0,9756,12,No,Own,0
65,390789,560167,574,6,5,34709,12,No,Mortgage,1
56,592373,874856,645,19,5,31540,24,No,Mortgage,1
29,710595,369418,632,13,5,30604,60,No,Mortgage,0
21,585095,1014014,625,1,0,25928,36,No,Rent,0
37,248910,648504,603,3,0,13125,60,Yes,Rent,1
47,163506,227760,799,20,1,11858,24,No,Own,0
50,605699,752127,585,21,4,42881,36,No,Rent,1
50,680618,502574,850,9,1,12323,36,No,Rent,0
53,588722,378676,617,10,2,28762,60,No,Rent,0
38,1017137,512611,779,6,1,24183,24,No,Mortgage,0
48,1074200,949766,850,19,1,1766,12,Yes,Own,0
42,657720,203408,649,11,3,16827,84,No,Rent,0
54,786230,132483,648,16,1,34818,84,Yes,Mortgage,0
36,525679,415772,683,11,0,2394,36,Yes,Own,0
35,1541555,371045,648,17,0,19335,24,No,Rent,0
27,514500,1055156,550,12,0,0,36,No,Rent,1
52,949982,787243,632,22,0,15692,48,No,Rent,0
25,914083,701120,805,11,4,40087,36,No,Rent,0
61,735721,897886,611,8,5,39572,60,No,Own,1
51,792837,165269,675,17,2,33131,84,Yes,Mortgage,0
33,1674742,622984,730,14,5,32540,12,No,Mortgage,0
65,912130,613412,814,5,3,22743,36,No,Rent,0
56,644596,1447189,725,0,1,5671,36,No,Mortgage,0
60,409289,79580,640,25,0,12750,60,No,Rent,0
35,690543,417581,644,7,4,14814,36,No,Mortgage,0
53,570231,780650,680,27,1,18929,48,No,Own,0
44,671904,614909,737,4,1,3675,36,No,Rent,0
55,1124569,244503,694,15,2,36736,60,No,Rent,0
51,828808,200791,716,7,2,34816,36,No,Rent,0
62,691715,53157,566,20,4,8316,36,No,Own,0
37,1252647,132132,588,13,5,39403,12,No,Own,0
38,950500,383445,564,15,2,18376,36,No,Rent,0
46,947104,1301052,716,12,5,30836,60,No,Own,0
21,1011633,363656,707,5,1,5614,60,Yes,Rent,1
48,507455,702230,620,20,5,45256,36,No,Rent,0
53,586106,729273,651,26,0,0,12,No,Rent,0
51,1255027,748770,850,13,2,21529,36,No,Own,0
